algo,k,entity,time,algo-k
81x1x1x1,10,d,0,81x1x1x1-10
81x1x1x1,10,comm,0.0428143,81x1x1x1-10
81x1x1x1,10,comp,0.73152,81x1x1x1-10
81x1x1x1,10,allgather,0.0235501,81x1x1x1-10
81x1x1x1,10,allreduce,0.00274398,81x1x1x1-10
81x1x1x1,10,reducescatter,0.0165203,81x1x1x1-10
81x1x1x1,10,gram,0.00268936,81x1x1x1-10
81x1x1x1,10,krp,0,81x1x1x1-10
81x1x1x1,10,mttkrp,0.637082,81x1x1x1-10
81x1x1x1,10,multittv,0.0722998,81x1x1x1-10
81x1x1x1,10,nnls,0.017652,81x1x1x1-10
27x3x1x1,10,d,0,27x3x1x1-10
27x3x1x1,10,comm,0.0422879,27x3x1x1-10
27x3x1x1,10,comp,0.706172,27x3x1x1-10
27x3x1x1,10,allgather,0.0233079,27x3x1x1-10
27x3x1x1,10,allreduce,0.00220306,27x3x1x1-10
27x3x1x1,10,reducescatter,0.0167769,27x3x1x1-10
27x3x1x1,10,gram,0.00238695,27x3x1x1-10
27x3x1x1,10,krp,0,27x3x1x1-10
27x3x1x1,10,mttkrp,0.631294,27x3x1x1-10
27x3x1x1,10,multittv,0.0531063,27x3x1x1-10
27x3x1x1,10,nnls,0.0177954,27x3x1x1-10
9x9x1x1,10,d,0,9x9x1x1-10
9x9x1x1,10,comm,0.0430268,9x9x1x1-10
9x9x1x1,10,comp,0.68202,9x9x1x1-10
9x9x1x1,10,allgather,0.0238488,9x9x1x1-10
9x9x1x1,10,allreduce,0.00264093,9x9x1x1-10
9x9x1x1,10,reducescatter,0.016537,9x9x1x1-10
9x9x1x1,10,gram,0.00266596,9x9x1x1-10
9x9x1x1,10,krp,0,9x9x1x1-10
9x9x1x1,10,mttkrp,0.62019,9x9x1x1-10
9x9x1x1,10,multittv,0.0397834,9x9x1x1-10
9x9x1x1,10,nnls,0.0176267,9x9x1x1-10
9x3x3x1,10,d,0,9x3x3x1-10
9x3x3x1,10,comm,0.0423144,9x3x3x1-10
9x3x3x1,10,comp,0.696365,9x3x3x1-10
9x3x3x1,10,allgather,0.0250272,9x3x3x1-10
9x3x3x1,10,allreduce,0.00463129,9x3x3x1-10
9x3x3x1,10,reducescatter,0.0126559,9x3x3x1-10
9x3x3x1,10,gram,0.0032674,9x3x3x1-10
9x3x3x1,10,krp,0,9x3x3x1-10
9x3x3x1,10,mttkrp,0.63204,9x3x3x1-10
9x3x3x1,10,multittv,0.0411304,9x3x3x1-10
9x3x3x1,10,nnls,0.0180294,9x3x3x1-10
3x3x3x3,10,d,0,3x3x3x3-10
3x3x3x3,10,comm,0.0151148,3x3x3x3-10
3x3x3x3,10,comp,0.807822,3x3x3x3-10
3x3x3x3,10,allgather,0.00584913,3x3x3x3-10
3x3x3x3,10,allreduce,0.0034117,3x3x3x3-10
3x3x3x3,10,reducescatter,0.00585396,3x3x3x3-10
3x3x3x3,10,gram,0.0024685,3x3x3x3-10
3x3x3x3,10,krp,0,3x3x3x3-10
3x3x3x3,10,mttkrp,0.708675,3x3x3x3-10
3x3x3x3,10,multittv,0.0774371,3x3x3x3-10
3x3x3x3,10,nnls,0.0177167,3x3x3x3-10
81x1x1x1,20,d,0,81x1x1x1-20
81x1x1x1,20,comm,0.0494726,81x1x1x1-20
81x1x1x1,20,comp,0.810968,81x1x1x1-20
81x1x1x1,20,allgather,0.0243545,81x1x1x1-20
81x1x1x1,20,allreduce,0.0038696,81x1x1x1-20
81x1x1x1,20,reducescatter,0.0212485,81x1x1x1-20
81x1x1x1,20,gram,0.00325793,81x1x1x1-20
81x1x1x1,20,krp,0,81x1x1x1-20
81x1x1x1,20,mttkrp,0.6397,81x1x1x1-20
81x1x1x1,20,multittv,0.133289,81x1x1x1-20
81x1x1x1,20,nnls,0.0325879,81x1x1x1-20
27x3x1x1,20,d,0,27x3x1x1-20
27x3x1x1,20,comm,0.0495797,27x3x1x1-20
27x3x1x1,20,comp,0.744428,27x3x1x1-20
27x3x1x1,20,allgather,0.0237006,27x3x1x1-20
27x3x1x1,20,allreduce,0.00378358,27x3x1x1-20
27x3x1x1,20,reducescatter,0.0220955,27x3x1x1-20
27x3x1x1,20,gram,0.00300165,27x3x1x1-20
27x3x1x1,20,krp,0,27x3x1x1-20
27x3x1x1,20,mttkrp,0.62861,27x3x1x1-20
27x3x1x1,20,multittv,0.0875289,27x3x1x1-20
27x3x1x1,20,nnls,0.0232745,27x3x1x1-20
9x9x1x1,20,d,0,9x9x1x1-20
9x9x1x1,20,comm,0.0439624,9x9x1x1-20
9x9x1x1,20,comp,0.720346,9x9x1x1-20
9x9x1x1,20,allgather,0.0233007,9x9x1x1-20
9x9x1x1,20,allreduce,0.00348874,9x9x1x1-20
9x9x1x1,20,reducescatter,0.0171729,9x9x1x1-20
9x9x1x1,20,gram,0.00299313,9x9x1x1-20
9x9x1x1,20,krp,0,9x9x1x1-20
9x9x1x1,20,mttkrp,0.627318,9x9x1x1-20
9x9x1x1,20,multittv,0.0641712,9x9x1x1-20
9x9x1x1,20,nnls,0.0240651,9x9x1x1-20
9x3x3x1,20,d,0,9x3x3x1-20
9x3x3x1,20,comm,0.0478564,9x3x3x1-20
9x3x3x1,20,comp,0.720503,9x3x3x1-20
9x3x3x1,20,allgather,0.0229695,9x3x3x1-20
9x3x3x1,20,allreduce,0.00334585,9x3x3x1-20
9x3x3x1,20,reducescatter,0.0215411,9x3x3x1-20
9x3x3x1,20,gram,0.00288442,9x3x3x1-20
9x3x3x1,20,krp,0,9x3x3x1-20
9x3x3x1,20,mttkrp,0.627577,9x3x3x1-20
9x3x3x1,20,multittv,0.0636244,9x3x3x1-20
9x3x3x1,20,nnls,0.0246969,9x3x3x1-20
3x3x3x3,20,d,0,3x3x3x3-20
3x3x3x3,20,comm,0.0416302,3x3x3x3-20
3x3x3x3,20,comp,1.3473,3x3x3x3-20
3x3x3x3,20,allgather,0.00542136,3x3x3x3-20
3x3x3x3,20,allreduce,0.00403107,3x3x3x3-20
3x3x3x3,20,reducescatter,0.0321778,3x3x3x3-20
3x3x3x3,20,gram,0.0035476,3x3x3x3-20
3x3x3x3,20,krp,0,3x3x3x3-20
3x3x3x3,20,mttkrp,1.18285,3x3x3x3-20
3x3x3x3,20,multittv,0.135878,3x3x3x3-20
3x3x3x3,20,nnls,0.023348,3x3x3x3-20
81x1x1x1,30,d,0,81x1x1x1-30
81x1x1x1,30,comm,0.0525746,81x1x1x1-30
81x1x1x1,30,comp,1.04205,81x1x1x1-30
81x1x1x1,30,allgather,0.023109,81x1x1x1-30
81x1x1x1,30,allreduce,0.00381693,81x1x1x1-30
81x1x1x1,30,reducescatter,0.0256487,81x1x1x1-30
81x1x1x1,30,gram,0.00328611,81x1x1x1-30
81x1x1x1,30,krp,0,81x1x1x1-30
81x1x1x1,30,mttkrp,0.810579,81x1x1x1-30
81x1x1x1,30,multittv,0.201691,81x1x1x1-30
81x1x1x1,30,nnls,0.0240303,81x1x1x1-30
27x3x1x1,30,d,0,27x3x1x1-30
27x3x1x1,30,comm,0.055412,27x3x1x1-30
27x3x1x1,30,comp,0.953684,27x3x1x1-30
27x3x1x1,30,allgather,0.0224419,27x3x1x1-30
27x3x1x1,30,allreduce,0.00500792,27x3x1x1-30
27x3x1x1,30,reducescatter,0.0279621,27x3x1x1-30
27x3x1x1,30,gram,0.00399419,27x3x1x1-30
27x3x1x1,30,krp,0,27x3x1x1-30
27x3x1x1,30,mttkrp,0.804004,27x3x1x1-30
27x3x1x1,30,multittv,0.116794,27x3x1x1-30
27x3x1x1,30,nnls,0.0264276,27x3x1x1-30
9x9x1x1,30,d,0,9x9x1x1-30
9x9x1x1,30,comm,0.047334,9x9x1x1-30
9x9x1x1,30,comp,0.917797,9x9x1x1-30
9x9x1x1,30,allgather,0.0232604,9x9x1x1-30
9x9x1x1,30,allreduce,0.00543496,9x9x1x1-30
9x9x1x1,30,reducescatter,0.0186386,9x9x1x1-30
9x9x1x1,30,gram,0.00414665,9x9x1x1-30
9x9x1x1,30,krp,0,9x9x1x1-30
9x9x1x1,30,mttkrp,0.800943,9x9x1x1-30
9x9x1x1,30,multittv,0.0856437,9x9x1x1-30
9x9x1x1,30,nnls,0.0244494,9x9x1x1-30
9x3x3x1,30,d,0,9x3x3x1-30
9x3x3x1,30,comm,0.052297,9x3x3x1-30
9x3x3x1,30,comp,0.916633,9x3x3x1-30
9x3x3x1,30,allgather,0.0227862,9x3x3x1-30
9x3x3x1,30,allreduce,0.00462242,9x3x3x1-30
9x3x3x1,30,reducescatter,0.0248884,9x3x3x1-30
9x3x3x1,30,gram,0.00326864,9x3x3x1-30
9x3x3x1,30,krp,0,9x3x3x1-30
9x3x3x1,30,mttkrp,0.799477,9x3x3x1-30
9x3x3x1,30,multittv,0.0859716,9x3x3x1-30
9x3x3x1,30,nnls,0.0258818,9x3x3x1-30
3x3x3x3,30,d,0,3x3x3x3-30
3x3x3x3,30,comm,0.0364853,3x3x3x3-30
3x3x3x3,30,comp,1.36009,3x3x3x3-30
3x3x3x3,30,allgather,0.00526125,3x3x3x3-30
3x3x3x3,30,allreduce,0.00413023,3x3x3x3-30
3x3x3x3,30,reducescatter,0.0270938,3x3x3x3-30
3x3x3x3,30,gram,0.00372842,3x3x3x3-30
3x3x3x3,30,krp,0,3x3x3x3-30
3x3x3x3,30,mttkrp,1.13207,3x3x3x3-30
3x3x3x3,30,multittv,0.196171,3x3x3x3-30
3x3x3x3,30,nnls,0.0264746,3x3x3x3-30
81x1x1x1,40,d,0,81x1x1x1-40
81x1x1x1,40,comm,0.0749424,81x1x1x1-40
81x1x1x1,40,comp,1.27495,81x1x1x1-40
81x1x1x1,40,allgather,0.0220961,81x1x1x1-40
81x1x1x1,40,allreduce,0.0160744,81x1x1x1-40
81x1x1x1,40,reducescatter,0.0367719,81x1x1x1-40
81x1x1x1,40,gram,0.00436917,81x1x1x1-40
81x1x1x1,40,krp,0,81x1x1x1-40
81x1x1x1,40,mttkrp,0.960239,81x1x1x1-40
81x1x1x1,40,multittv,0.272928,81x1x1x1-40
81x1x1x1,40,nnls,0.0344259,81x1x1x1-40
27x3x1x1,40,d,0,27x3x1x1-40
27x3x1x1,40,comm,0.0813578,27x3x1x1-40
27x3x1x1,40,comp,1.15078,27x3x1x1-40
27x3x1x1,40,allgather,0.0272191,27x3x1x1-40
27x3x1x1,40,allreduce,0.0151843,27x3x1x1-40
27x3x1x1,40,reducescatter,0.0389544,27x3x1x1-40
27x3x1x1,40,gram,0.00412368,27x3x1x1-40
27x3x1x1,40,krp,0,27x3x1x1-40
27x3x1x1,40,mttkrp,0.955962,27x3x1x1-40
27x3x1x1,40,multittv,0.150983,27x3x1x1-40
27x3x1x1,40,nnls,0.0368568,27x3x1x1-40
9x9x1x1,40,d,0,9x9x1x1-40
9x9x1x1,40,comm,0.0748622,9x9x1x1-40
9x9x1x1,40,comp,1.10155,9x9x1x1-40
9x9x1x1,40,allgather,0.0205756,9x9x1x1-40
9x9x1x1,40,allreduce,0.0148321,9x9x1x1-40
9x9x1x1,40,reducescatter,0.0394546,9x9x1x1-40
9x9x1x1,40,gram,0.0044169,9x9x1x1-40
9x9x1x1,40,krp,0,9x9x1x1-40
9x9x1x1,40,mttkrp,0.952678,9x9x1x1-40
9x9x1x1,40,multittv,0.106394,9x9x1x1-40
9x9x1x1,40,nnls,0.0355038,9x9x1x1-40
9x3x3x1,40,d,0,9x3x3x1-40
9x3x3x1,40,comm,0.0788357,9x3x3x1-40
9x3x3x1,40,comp,1.10162,9x3x3x1-40
9x3x3x1,40,allgather,0.0270137,9x3x3x1-40
9x3x3x1,40,allreduce,0.0141643,9x3x3x1-40
9x3x3x1,40,reducescatter,0.0376576,9x3x3x1-40
9x3x3x1,40,gram,0.00393291,9x3x3x1-40
9x3x3x1,40,krp,0,9x3x3x1-40
9x3x3x1,40,mttkrp,0.951659,9x3x3x1-40
9x3x3x1,40,multittv,0.105309,9x3x3x1-40
9x3x3x1,40,nnls,0.0384563,9x3x3x1-40
3x3x3x3,40,d,0,3x3x3x3-40
3x3x3x3,40,comm,0.0606635,3x3x3x3-40
3x3x3x3,40,comp,1.66392,3x3x3x3-40
3x3x3x3,40,allgather,0.0182381,3x3x3x3-40
3x3x3x3,40,allreduce,0.0119029,3x3x3x3-40
3x3x3x3,40,reducescatter,0.0305225,3x3x3x3-40
3x3x3x3,40,gram,0.00396698,3x3x3x3-40
3x3x3x3,40,krp,0,3x3x3x3-40
3x3x3x3,40,mttkrp,1.36215,3x3x3x3-40
3x3x3x3,40,multittv,0.256851,3x3x3x3-40
3x3x3x3,40,nnls,0.0391067,3x3x3x3-40
81x1x1x1,50,d,0,81x1x1x1-50
81x1x1x1,50,comm,0.0773194,81x1x1x1-50
81x1x1x1,50,comp,1.52684,81x1x1x1-50
81x1x1x1,50,allgather,0.021245,81x1x1x1-50
81x1x1x1,50,allreduce,0.0210587,81x1x1x1-50
81x1x1x1,50,reducescatter,0.0350158,81x1x1x1-50
81x1x1x1,50,gram,0.00504296,81x1x1x1-50
81x1x1x1,50,krp,0,81x1x1x1-50
81x1x1x1,50,mttkrp,1.13896,81x1x1x1-50
81x1x1x1,50,multittv,0.343398,81x1x1x1-50
81x1x1x1,50,nnls,0.0358665,81x1x1x1-50
27x3x1x1,50,d,0,27x3x1x1-50
27x3x1x1,50,comm,0.0738409,27x3x1x1-50
27x3x1x1,50,comp,1.36171,27x3x1x1-50
27x3x1x1,50,allgather,0.0203286,27x3x1x1-50
27x3x1x1,50,allreduce,0.0183836,27x3x1x1-50
27x3x1x1,50,reducescatter,0.0351287,27x3x1x1-50
27x3x1x1,50,gram,0.00463039,27x3x1x1-50
27x3x1x1,50,krp,0,27x3x1x1-50
27x3x1x1,50,mttkrp,1.13096,27x3x1x1-50
27x3x1x1,50,multittv,0.183855,27x3x1x1-50
27x3x1x1,50,nnls,0.0389965,27x3x1x1-50
9x9x1x1,50,d,0,9x9x1x1-50
9x9x1x1,50,comm,0.0823138,9x9x1x1-50
9x9x1x1,50,comp,1.30496,9x9x1x1-50
9x9x1x1,50,allgather,0.016934,9x9x1x1-50
9x9x1x1,50,allreduce,0.0248447,9x9x1x1-50
9x9x1x1,50,reducescatter,0.040535,9x9x1x1-50
9x9x1x1,50,gram,0.00442305,9x9x1x1-50
9x9x1x1,50,krp,0,9x9x1x1-50
9x9x1x1,50,mttkrp,1.12497,9x9x1x1-50
9x9x1x1,50,multittv,0.129494,9x9x1x1-50
9x9x1x1,50,nnls,0.0427563,9x9x1x1-50
9x3x3x1,50,d,0,9x3x3x1-50
9x3x3x1,50,comm,0.0672441,9x3x3x1-50
9x3x3x1,50,comp,1.30187,9x3x3x1-50
9x3x3x1,50,allgather,0.0157845,9x3x3x1-50
9x3x3x1,50,allreduce,0.0182506,9x3x3x1-50
9x3x3x1,50,reducescatter,0.0332091,9x3x3x1-50
9x3x3x1,50,gram,0.00431347,9x3x3x1-50
9x3x3x1,50,krp,0,9x3x3x1-50
9x3x3x1,50,mttkrp,1.12576,9x3x3x1-50
9x3x3x1,50,multittv,0.128238,9x3x3x1-50
9x3x3x1,50,nnls,0.0410975,9x3x3x1-50
3x3x3x3,50,d,0,3x3x3x3-50
3x3x3x3,50,comm,0.0517875,3x3x3x3-50
3x3x3x3,50,comp,1.95097,3x3x3x3-50
3x3x3x3,50,allgather,0.0103259,3x3x3x3-50
3x3x3x3,50,allreduce,0.0143234,3x3x3x3-50
3x3x3x3,50,reducescatter,0.0271382,3x3x3x3-50
3x3x3x3,50,gram,0.00466034,3x3x3x3-50
3x3x3x3,50,krp,0,3x3x3x3-50
3x3x3x3,50,mttkrp,1.58804,3x3x3x3-50
3x3x3x3,50,multittv,0.317445,3x3x3x3-50
3x3x3x3,50,nnls,0.038761,3x3x3x3-50